0,,,.,,Contents,,,,,,,,,,,
0,,,.,,,,,,,,,,,,,
0,,,23,,Atomic Relations,,,,,,,,,,,
1,,,50,,"Atomic Concepts-n, properties and indexicals",,,,,,,,,,,
2,,,88,,Metalinguistic Atoms,,,,,,,,,,,
3,,,109,,Atomic Synonyms,,,,,,,,,,,
4,,,179,,Axioms,,,,,,,,,,,
5,,,193,,Atomic Categories,,,,,,,,,,,
6,,,205,,Connectives,,,,,,,,,,,
7,,,216,,Connective Synonyms,,,,,,,,,,,
8,,,240,,Miscellaneous Words,,,,,,,,,,,
9,,,260,,Redundant Words,,,,,,,,,,,
10,,,289,,Hard_Coded Symbols,,,,,,,,,,,
11,,,306,,Numbers,,,,,,,,,,,
12,,,335,,Determinatives,,,,,,,,,,,
13,,,369,,Determinative Synonyms,,,,,,,,,,,
14,,,418,,Pronouns,,,,,,,,,,,
15,,,448,,"Relations, Nouns, Adverbs and Adjectives",,,,,,,,,,,
16,,,1114,,Words not of metaphysical interest,,,,,,,,,,,
17,,,1127,,Plurals,,,,,,,,,,,
18,,,1260,,People,,,,,,,,,,,
19,,,1280,,Alternative Word Forms,,,,,,,,,,,
20,,,1298,,Definitions used by other philosophers which we reject,,,,,,,,,,,
21,,,.,,,,,,,,,,,,,
22,,,.,,Atomic Relations,,,,,,,,,,,
23,,,.,,,,,,,,,,,,,ggg=basic synonyms up to here
24,,rbt,above,AB,((bIGc) <> (dABb)) & ((bIGc) <> (bABe)) & (c=point),,,,,,,,,,,
25,,rbt,after-l,AL,((bIGc) <> (dALb)) & ((bIGc) <> (bALe)) & (c=letter),,,,,,,,,,,
26,,rbt,after-n ,AF,((bIGc) <> (dAFb)) & ((bIGc) <> (bAFe)) & (c=number),,,,,,,,,,,
27,,rbt,after ,A,((bIGc) <> (dAb)) & ((bIGc) <> (bAe)) & (c=moment),,,,,,,,,,,
28,,rbi,and,&,((p&q) > (p.qIGb)) & (q~Ic) & (rPd) & (b=relationship) & (qb^p&~p) & (c=reality-t) & (rb^p&~q),,,,,,,,,,,
